movie,sentence,score
문폴,진심 더럽게 재미 없네. 음모론도 어의가 없네요. 달이 인공구조물이라구요? 차라리 달나라에 토끼가 산다고 해라. 갑자기 외계생명체가 왜 나와요? 시간 아깝다. 이런 영화를 보고 있는 내가 한심하다...,1
더 킬러: 죽어도 되는 아이,스트레스가 풀리는 액션씬 권선징악의 끝판왕입니다,10
지구 최후의 밤,탕웨이를 보러갔는데…,6
헤어질 결심,"2시간 20분간 완전히 몰입해서 봤어요. 액션/코미디 장르가 아닌데도 전혀 지루하거나 길게 느껴지지 않았습니다. 올해 손 꼽을 수 있는 인생 영화를 만난 것 같습니다, 마침내.",10
엘비스,재미 없습니다. 진심입니다. 영화 다 못보고 나온거 오랫만이예요.. 연기말고는 정말 볼것 없음. 보헤미안랩소디 생각하고 보면 안됩니다.,4
그레이 맨,주구장창 부수고 터지는데 빈도가 너무 잦아서 그런가 뒤로갈수록 지루하다는 생각이듬...,6
씨 비스트,스토리는 그렇다쳐도 그래픽 미쳤네,6
엘비스,영화 좋은데 관객이 적은게 너무 안타깝다 단순한 음악영화가 아니다문화가 가지는 상징성과 정체성을 영화는 이야기 하고 있다 최고의 영화다,10
마녀(魔女) Part2. The Other One,3편을 위한 졸작이라 칭하겠습니다.. 마지막 다미누나 작품위해서 1편때처럼만 살빼주시면.. 어떨까 싶네요.. 액션식은 속도감은 있어서 좋았는데.내용은 머 으휴..,4
탑건: 매버릭,영화 잘 안보는데 너무 재미있게 봤어요,10
인형사,옛날에 갖고 놀던 인형 생각나서 무서웠음 근데 혜미가 좀 답답했다,8
토르: 러브 앤 썬더,이제야 봤네요 넘 재밌었어요 ㅋㅋㅋ마블은 언제나♥,10
토르: 러브 앤 썬더,타이카 와이티티 감독의 재기발랄함이 너무 선명히 돋보여서 오히려 호불호를 가져왔다.,8
마녀(魔女) Part2. The Other One,음 뭔가 파트2는 파트3을 위한 예고편 느낌이랄까 1편을 너무 재미있게봐서 기대를 많이 해서 그런가 생각보다는 그렇게 재미있지는 않네요 그래도 파트3 기대합니다,7
토르: 러브 앤 썬더,"마블 팬으로서 가볍게 즐기기에 괜찮았고, B급 감성 코미디도 개인적으로 취향이었습니다. 역시 명배우 답게 마이티 토르나 고르를 연기한 배우들도 순간적인 연기력이 뛰어났기에, 마냥 영화가 가볍게 느껴지지만은 않았습니다. 주변에서 스토리가 유치하고 기대 이하라는 평이 많았지만, 영화관에서 관람한 것을 후회하진 않습니다.",7
토르: 러브 앤 썬더,유쾌한 걸 기대했는데 유치한 거 말고,7
레지던트 이블: 라쿤시티,그만 좀 우려먹어라...그러니 이리 졸작이 나오지,4
헤어질 결심,서래가 깊은 바다에 ‘해준을 사랑하는 서래’를 놓고왔기때문에 코로 숨을 쉬어야하는 해준은 절대 서래를 잡을 수 없을것이다,10
토르: 러브 앤 썬더,크리스찬 베일 너무 무서웠어요,10
룸 쉐어링,브로커보다 훨씬 재밌다  감독 배우만 유명하면 뭐하냐,10
로스트 도터,있어도 고생이고 없어도 고생인 가족. 부모. 자식.,7
탑건: 매버릭,심장을 뜨겁게 만드는 영화,10
헤어질 결심,처음부터 끝까지 긴장감을 갖고 이들의 사랑도 느낄수 있는 영화였다. 단순 식상한 멜로 영화가 아니었고 많은 생각을 남기는 영화였다.,10
엘비스,요상스레 다리를 떨며 느끼하게 노래하는 옛날 가수라고 생각했던 내 자신이 부끄러워졌다.그의 음악과 팬들에 대한 사랑에 가슴이 저렸다.마지막 콘서트에서 힘겹지만 열정적으로 언체인드 멜로디를 노래할때는 나도 같이 울었다.,8
탑건: 매버릭,정말 올해의 영화입니다,10
더 킬러: 죽어도 되는 아이,아주 잼있는데 상영관이 왜캐 작아요?우리나란 밀어주기 개봉을 해주는건가... 평점이 이래 높은데 개봉관이 작네,10
탑건: 매버릭,OST 까지 다 완벽해 100번 더 볼 예정,10
탑건: 매버릭,최고의 영화입니다!!,10
토르: 러브 앤 썬더,스포없이 보면 잼있음 악역 연기 짱,9
헤어질 결심,"지나치게 캐릭터색깔만 강하고, 감동이 없는 스토리 ... 그냥 뭐라고 설명하기 힘든데.. 어렵지 않은 영화인데 리뷰찾아보면 해설이 더 어렵게 나와있어서 ㅎㅎ 보고나서 그냥 아... 딴 거 볼껄...ㅠㅠ 다소 과장되게 포장된 메세지를 가진 영화같다는 느낌이 든다. 갠적으로 재미없음.ㅠㅠ",6
토르: 러브 앤 썬더,스포없이 보면 잼있음 악역 연기 짱,9
탑건: 매버릭,옛생각도 나고 울컥하네 탐형은 역시,10
토르: 러브 앤 썬더,평이 너무 안좋길래 기대없이 갔는데 생각보단 볼만함,6
토르: 러브 앤 썬더,평이 너무 안좋길래 기대없이 갔는데 생각보단 볼만함,6
헤어질 결심,뻔한말이지만 역시 박찬욱 명불허전입니다. 오랜만에 여운이 남는 계속 생각나는 영화였어요. 탕웨이의 고혹적인 매력과 연기에 푹 빠져봤어요. 서래는 과연 어찌 됐을까요..,10
씽2게더,별을 다섯개밖에 누를 수 없다는게 아쉽네요ㅠ시간 가는줄 모르고 재미있게 봤습니다! 그 정도로 후회 없는 영화ㅠ 3 존중하며 버틸게요ㅠㅠ,10
국제시장,"지나치게 평면적인 대사와 연출, 감동을 강요하는 구슬픈 신파 마니아 윤.재.균",5
마녀(魔女) Part2. The Other One,"3편 떡밥 2편. 헌데, 1편 언니한테 까불면 목아지 날아간다던 대사는 자윤이 신시아한테 한거임? 1편 자윤의 백총괄 공격으로 데미지 입었다던데, 예산문제로 날아간건지? 3편 떡밥인지? 2편 전체 스토리 설명이 아쉬움~ㅎ 1편 비교 다소 뻔해 졸라 유치할줄 알았는데, 어색하지 않았음. 2편 제작전 워너가 철수하는 바람에 스케일이 작아졌다더니, 제주도/맨 외제차/CG 추가에 그리 스케일 작은지 모르겠음~ㅎ(원래 대본에서 제작비 문제로 연구소 해외지부씬 삭제된 듯 함) 다소 어색할줄 알았던 우영우(박은빈)/서은수 외 애들 욕지거리/코믹대사 입에 착착 붙어 익숙해 보이던데 평소 욕들 좀 하나봄~ㅋ 짱개가 진구에게 준 선물로 변이된 듯해 3편 나올 듯. 1편 자윤이 초반 순진에서 초월체의 역변 캐릭터로 볼만 했는데, 1편 대박이후 익숙한 싸가지 역활들로 소모되어, 오히려 진부했음~ㅎ 마지막까지 별기대하지 않았던 전투씬 없이, 실제 성격도 싸가지라는 이종석은 1편 최우식 정도의 싸가지 연기는 볼만 했으나 대체 왜 나온거임?ㅎ 아래것들 보니 소모품 레벨이던데?ㅋ 근데, 이런식으로 레벨업되어 가다간 3편 빌런과는 마블 타노스급 핑거스냅으로 지구까지 날릴 기세?ㅋ 다소 짱개틱+마블화 되어버림~ㅎ(배우고 연기고 뭐고, 뭐라 혼자 씨부리는건지 기초발음부터 대체 뭐라는지 모르겠을 존재감 1도 없는 엄태구는 대체 왜나옴거임?ㅎ)",7
탑건: 매버릭,처음 리뷰해본다 별점 10점이 부족하다걍 봐라 무적권 봐라,10
썬데이 서울,원주율 깨지마라좀,1
탑건: 매버릭,킬링타임,9
명탐정 코난: 할로윈의 신부,처음부터 범인 유추 쌉가능... 이번 극장판 요즘 나온것중에 제일 재밌다고해서 과거의 영광을 찾은줄 알았더니 그냥 그럼 ㅋㅋ 요즘 극장판임.. 베이커가랑 세기말의 마술사 같은 스토리는 더이상 무리인가.. 경찰동기조 때문에 봤다 정말로,6
탑건: 매버릭,진촤…. 재밌어여ㅠㅠㅠㅠ,10
메멘토,관람객들을 머리아프게 갖고 노는구만,1
암살,전하고자 하는 메세지에 비해 개연성이 너무 허술하다,6
탑건: 매버릭,멋이 있는 영화1편에 못지 않은 2편,10
명탐정 코난: 할로윈의 신부,최근 코난 상영작 중 가장 스토리가 괜찮고 몰입도가 좋았던 영화,10
마녀(魔女) Part2. The Other One,초반엔 갑자기 인물들이 마구마구 튀어나와서 이게 무슨 내용인가 싶었는데 막판에 김다미나오고나서 영화끝났을때 빨리 3보고 싶어서 미치는 줄 알았어요..감독님..많이 일하시고 많이 버세요..!!!,10
명탐정 코난: 할로윈의 신부,요근래 4개 극장판보고 다시는 극장판에 돈안써야지하고 마지막으로 봤는데 드디어 극장판다운 극장판을 본거 같아요,9
탑건: 매버릭,진짜 평점 처음 쓰는데 진짜 재미있어요,10
탑건: 매버릭,웅장이 가슴해지는 영화,10
토르: 러브 앤 썬더,아쉽다.여전한 pc질.베일 형님의 연기력 낭비.시종일관 가벼운 토르.딱 6점만큼의 영화가오갤 그딴식으로 쓸꺼면 첨부터 쓰지말던가..토르 위기상황때 재등장 시켰으면 좋았을텐데.... 전체적으로 아쉬우 작품,6
변호인,정치하는 인간들에게 이런 낭만이 있겠냐만은 국가란 국민입니다,10
헤어질 결심,위대한 게츠비가 있었다면 위대한 탕웨이도 있다.,10
엘비스,"영화를 보기 이전 엘비스에 대해 많이 알지 못하였는데, 감상 후 화려함 뒤에 감춰졌던 엘비스의 인간적인 고뇌에 공감할 수 있었으며 좀 더 엘비스와 가까와진 느낌이 들었습니다.",10
명탐정 코난: 할로윈의 신부,최근 코난 극장판 시리즈 중에 젤 재밌게 봤어요,10
변호인,야만에 맞서고 권력에 저항하는 어느 평범했던 변호사의 이야기,8
탑건: 매버릭,하 인생작이에요ㅠㅠㅠ미쳤써ㅠㅠㅠㅠ진짜 다완벽해요ㅠㅠㅠ더 이상 말이 필요없어 이거 안보면 후회한다 배퍼,10
데스 센텐스,"평이 왜 좋은지 모르겠지만 배울만큼 배운 사람이 갱단하고 붙고 나서 가족을 그대로 집에 두는 대가리, 피해자를 겁박하고 능력없는 형사. 좋은 평을 주긴 힘든 답답한 고구마 영화.",1
탑건: 매버릭,간만에 옛날 느낌.. 요즘 나오는 영화는억지로 웃기고 억지로 감동주고 그런 느낌이었는데 오랜만에 제대로 영화관에서 영화를 봤다 말할 수 있는 영화였어요,10
더 배트맨,지역경찰에 공조하는 가면놀이 흥신소 탐정을 만들어놨네;; DC 스타일이고 나발이고 뭐하나 개성이 없잖아,6
탑건: 매버릭,아직도 감동이 안 사라지네요,10
더 킬러: 죽어도 되는 아이,열화판 아저씨인데 아저씨는 치트 쓰고 나왔고 빌런들은 너무 약해빠졌음...,5
레지던트 이블: 라쿤시티,레온 ㅅㅂㅡㅡ캐스팅 몰입도진짜안되네 인도사람아니가,2
헤어질 결심,결심은 파도가 오기 전에 하는 거니까파도가 가면 후회만 하면 되니까,10
리버 와일드,예전에 비디오 가게에서 빌려서 재미잇게 본 기억이,10
탑건: 매버릭,진짜 최고의 영화톰크루즈 최고입니다,10
헤어질 결심,구린 스토리를 연출 연기와 음악으로 커버한 느낌. 볼만하지만 이게 수상작이라고 싶은.. 탕웨이랑 박해일 아니었으면 망했을 거 같은데...,5
명탐정 코난: 할로윈의 신부,"원래 코난을 잘 안 보던 사람인데, 오랜만에 본 영화임에도 스토리가 대단함을 느낌. 캐릭터 이름을 잘 모르더라도 보는데 지장없음!",10
호수의 이방인,외모만 보면 이사달이 납니다..,7
탑건: 매버릭,재밌다. 중반부분까진 오글거리고 유치했는데 후반부에 심장쫄깃쫄깃. 벅차오름,10
탑건: 매버릭,솔직히 천만 영화들 보다 재밌었음 ㅠㅠ근데 이게 왜 아직 600만도 안됐는지…진짜 배우분들 연기며 연출이며 ost까지 미쳤는데??,10
극장판 주술회전 0,6번이나봤는데 볼때마다 새로움,10
탑건: 매버릭,오래된 영화의 속편인데 불구하고 리얼리티 쩌는 촬영기법과 연출 그리고 왕도지만 감동적인 드라마.. 최고의 속편,10
탑건: 매버릭,정말 멋지다역시 톰아저씨 짱!!,10
엘비스,뒤로 갈수록 자꾸 의리의 김보성 형님이 생각나는... 은 물론 농담이고 오랜만에 극장 가서 본 의미가 있었네요,10
버즈 라이트이어,애들 데리고 갔었는데 어른이 봐도 볼만했음,7
핸썸,아~~우리 기봉이 행님  돌리도~,2
마녀(魔女) Part2. The Other One,"내용에 개연성이 없고 인물들이 많이 나오는데 서사를 안보여주니 공감할 수 없었음 액션신에 공을 들인 건 알겠으나,,, 유치한 중국 영화 같았음",4
탑건: 매버릭,DVD나왔을적 어렸을적추억때문에 제일먼저 구매했던 탑건 넘 잼있엉ㅎ어요,10
탑건: 매버릭,뚜왕~~~.~~~~뿌슝,10
토르: 러브 앤 썬더,묠니르 때문에 삐친 스톰브레이커 ㅋㅋㅋㅋ....,10
그레이 맨,영상 좋고 액션 좋은데 스토리는 빈약한 전형적인 넷플릭스 영화,6
탑건: 매버릭,태어나서 처음 평점 남겨봅니다..,10
헤어질 결심,영화가 끝나고  반추해보면 퍼즐이 완성되는 영화~~넘 좋아요,10
베놈 2: 렛 데어 비 카니지,다 보고 나니 뭐 하나 기억에 남는 장면이 없는 영화 B급감성으로 갈려면 확실하게 B급으로 가던가...,5
마녀(魔女) Part2. The Other One,재미있던데 평점 왜 이렇게 낮지,10
레지던트 이블: 라쿤시티,밀라요보비치의 영향이 아직도 있어서 잼있게 느껴지진 않았다.클레어 같이 다니는 신입 경찰은 눈치 없는 고구마새키라 사이다가 없음,8
탑건: 매버릭,이거 보고 항공과 가고싶어짐,10
헤어질 결심,초반 극중 중국인?의 어눌한 한국말대사들땜 산만했으나 (탕웨이 아닌..) 역시 탕웨이와 박해일의 연기와 연출또한 색달랐음',10
브이아이피,대충 봤는데 야한게 아니라 잔인하고 여자 납치 살인 소재가 부적절하긴 함,6
아이 씨 유,스토리는 신박하고 좋았는데 개인적으로 할머니를 여주로 캐스팅해서 몰입도가 매우 떨어졌어요...,6
헤이트풀8,잔인한데 웃기기도 하고 통쾌하고 재밌다.,9
토르: 러브 앤 썬더,라그나로크: 유쾌함 / 러브앤썬더: 유치함,4
탑건: 매버릭,멋지다는 말만 나오는 영화~,10
더 킬러: 죽어도 되는 아이,"장혁 액션 원툴입니다.어차피 스토리 기대안했는데.,억지 감동을 노린 몇몇포인트가 영화의 흐름을심하게 뭉겝니다.  미치겠더라구요. 장혁 참 좋은 배우인데, 시나리오 좀 좋은 작품 만나서 좋은 영화 나왔으면 좋겠습니다.",1
탑건: 매버릭,댓글 왠만하면 안남기는데.. 너무 재밌습니다 강력히 추천!,10
맨 오브 스틸,오감 쾌감 기준 단언컨데 현존하는 SF액션 블록버스터 최고. 박평식 7줌. 닥치고본다~,10
탑건: 매버릭,인생중에 영화관에서 2번이상 본 최초의 영화 볼때마다 새롭고 지린다 진짜안보면 인생 후회 아이맥스 4DX 2D 다 봤는데 이 영화는 4DX임,10
탑건: 매버릭,2D로 한번보고 돌비사운드로 한번 더 봄!! 탐형.... 진정 올타임 레전드.... ㅠㅠ,10
명탐정 코난: 할로윈의 신부,베이커가의 망령 이후의 명작,10
탑건: 매버릭,만점 주러 왔다. 이게 영화지.,10
탑건: 매버릭,꿈을 꾸게 해줬던 탑건1에서탑건2는 또다른 꿈을 앞두고 도전하는 상황에서 힘을 주는 영화가 되었다.우리가 영화관에 가야하는 이유.,10
탑건: 매버릭,개꾸르잼 대단하다 쨕쨕,10
헤어질 결심,개인적으로 핵노잼.감독 믿고 봤는데..핵노잼..ㅠㅠ내 시간...ㅜㅜ,2
혼자 사는 사람들,여주 연기 자연스럽고 좋다. 내용은 그냥... 딱 거기까지.,5
멘,돈내고 불쾌한걸 본느낌,3
체리마호: 30살까지 동정이면 마법사가 될 수 있대,진짜... 쿠로사와 주접이 한층 강해지고 아디치는 여전히 사랑스럽고 넘 좋아요~ ost도 좋아요~ 편견없이 보면 정말 여운있고 재미있는 영화가 되실꺼예요~,10
블랙 달리아,좋은 배우들로 불친절한 영화를 만듦,6
헤어질 결심,연출과 연기는 좋았으니 스토리를 풀어 나가는 방법이 너무 지겹게 끌고 나가간게 아닌가 하는 생각이 듭니다. 뭔가 공감을 주는 점이 좀 떨어져 영화에 몰입하는데 방해가 된 점이 아쉽습니다.,6
헤어질 결심,간만에 또 보고싶게 만드는 영화,10
토르: 러브 앤 썬더,마블의 캐스팅은 변함없이 놀라웠지만 만화 원작의 한계가 점점 더 크게 느껴진다.,6
브로커,지루하긴 하지만 내용은 좋습니다,6
범죄도시2,시원한 액션씬과 마동석 캐릭터의 환상적인 하모니,9
클로이,"로맨틱 코미디? 스릴러? 퀴어? 이것저것 미끼 던지다가 에라 모르겠다, 대충 끝내버리는 영화. 근데, 뭔가로 방향 잡고 제대로 끝냈다 해도 결국 범작에 그쳤을 영화.",1
박쥐,좋은 영화입니다. 재개봉으로 잘 보고 가요,8
버즈 라이트이어,토이스토리의 감동은 느낄 수 없다,6
마녀(魔女) Part2. The Other One,솔직히 조금 그래요. 1편보다 떨어짐,5
헤어질 결심,2022년 한국 영화계에 내린 축복.  정점에 도달한 영화란 이런 것.,10
헤어질 결심,좋은 영화입니다. 역시 감독님!,9
탑건: 매버릭,올해 본 영화중 제일 재미있다,10
토르: 러브 앤 썬더,토르 치고는 재미가 없네요,7
탑건: 매버릭,"한 시대를 풍미한 걸작 그 자체이다.영화란 원래 이런 것이라는 고찰을 끊임없이 안겨준 작품으로, 천재적 기교없이 열정과 고뇌만으로 천재적 작품은 탄생시킨 감독과 배우들에게 아낌없는 찬사를 보낸다.",10
큐어,놀라운 영화입니다..,10
브로커,송강호는 그냥 변호인2편이나 찍어라,2
명탐정 코난: 할로윈의 신부,재밌게봤습니다,10
헤어질 결심,처음 봤을때 약간지루하고 난해했다.이동진 리뷰와 감독인터뷰 보고나니 비로서 명작이구나 느껴졌다한번 더 볼예정이다,10
탑건: 매버릭,"하반기 개봉할 영화들이 어떨지 모르겠지만, 현재까지 올해 최고의 액션영화를 꼽음에 서사와 액션 모두 부족함이 없는 영화였습니다. 그리고, 4D에 최적화된 몇 안되는 영화중 하나였던 것 같습니다.",10
캐빈 인 더 우즈,잘 만든 영화. 뻔하지 않다. 오랜만에 또 봐도 재밌네,10
탑건: 매버릭,아직은 시네마의 시대,9
헤어질 결심,"아직 20대중반 신혼이라 그런지 모르겠는데그저 나에겐 나이 먹고 한심한 불륜으로 밖에 안보였다.사랑의 깊음, 뭐 감동 이런건 웃기지도 않고 그저 불륜일 뿐이다.살인에 죄책감 없는 미친여자와 얼굴에 반해 불륜을 저지르는 한심한 형사 이야기",4
모어 댄 블루,진짜 불쌍한건 치과의사네.,7
탑건: 매버릭,4D로 보고왔는데 저는 좀 어지러웠어요 영화는 정말 재밌게 봤어요 강추합니다 군더더기 없는 스토리 라인이라 돈 아깝지 않아요 오랜만이네요 이런 영화..,10
체리마호: 30살까지 동정이면 마법사가 될 수 있대,드라마의 후속편이라 그래서 걱정했는데 앞 부분 다이제스트로 어느정도 이해가 가능해서 관람에 무리는 없었다. LGBT에 대해 다정하고 따스한 시선으로 그려진 영화. 두 사람이 거친 파도를 넘어 쭈욱 행복하게 살았으면 좋겠다.,10
월드 인베이젼,옛날에 보다만 영화였는데 이제 다봤어요 재밌게 잘봤습니다!,10
헤어질 결심,소설책 한권 읽고 나오는 기분,10
마녀(魔女) Part2. The Other One,마녀1 프롤로그 같은 느낌 1너무 재미있게 봐서 그런지 2 은너무  진행이 비슷하고 3 에서 1~2  뿌러놓은 떡밥 회수는 어떻게 풀어나갈지,6
토르: 러브 앤 썬더,원래 감상평같은거 안남기는데 아이가 보자고 해서 갔고 평점이 너무 안좋아서 기대도 안했지만 정말 기대이하의 영화였습니다. 솔직히 돈이 아깝네요~ 마블도 이제 한물 간듯~,1
헤어질 결심,연출하나는 ㅆㅅㅌㅊ. 스토리는 좀... 감독님은 연출만 합시다.,8
탑건: 매버릭,모조건 극장 가야하는 이유,10
토르: 러브 앤 썬더,영화 보다가 나온 건 내 생애 두번째.첫번째는 그레이의 오십가지 그림자 두번째는 토르이건 도저히 내 시간이 아까워서 나올 수 밖에 없었음 정말 마블이이렇게 된것에 놀라울 따름 놓아주어야 겠음,1
미스틱 리버,감독은 마지막에 데이브는 죽이지 말았어야했다 잘보다 마지막에 데이브 죽이고 멍청한와이프 지미 와이프하는 말과 키스신에 토나온다 데이브 죽음으로 찜찜하고 열받는다,6
탑건: 매버릭,말이 필요없음  최고의 영화,10
루시,역시 악당은 K-악당!!! 근데 호텔 안내데스크에서는 왜 중국말 한거지?,8
헤어질 결심,궁금증과 긴장감을 가지고 몰입해서 보게 되는 영화. 특히 박해일이 탕웨이와 취조실에서 초밥을 먹고 치우는 장면이 인상 깊음. 취조실이 아니라 여느 커플의 모습을 보는 것 처럼.,9
원샷,기대없이 봤는데 끝까지 보게 되네요속편 나와 줬음 합니다액션과 현장감이 압권이었습니다,10
레지던트 이블: 라쿤시티,최악의 시나리오와 연출...,2
마녀(魔女) Part2. The Other One,참을성 없는 사람에겐 노잼일 영화서사를 푸는 부분 때문에 초반부 지루할 수도속편이나 비기너로 알리구 제작했음 좋았을 스토리하지만 후반무 몰아치고 cg도 괜찮은 수준3편 빨리 나오길 기대함.,8
살인소설,평점 줄수가없음그냥보세요,1
토르: 러브 앤 썬더,"안녕 토르. 토르 5편은 디즈니플러스에서 보자.재미도, 연출도, 감동도 하나도 없다.탑건 3번 보는게 훨씬 낫네요.",2
더 킬러: 죽어도 되는 아이,장혁 배우의 탄산음료보다 더 시원하게 터지는 액션!,10
헤어질 결심,스스로를 미결 사건으로 만들고 싶은 사랑,10
탑건: 매버릭,액션 전투 이런거에 흥미 1도 없었는데 너무 재밌게 보고옴,10
